(6,9)	0.806
(4,9)	0.777
(3,6)	0.754
(3,10)	0.749
(6,10)	0.746
(3,7)	0.741
(5,10)	0.738
(4,7)	0.737
(3,4)	0.733
(7,9)	0.726
(2,7)	0.713
(6,7)	0.703
(2,10)	0.700
(4,6)	0.695
(2,6)	0.693
(2,9)	0.687
(4,5)	0.663
(2,3)	0.656
(3,5)	0.652
(2,5)	0.643
(5,8)	0.637
(9,10)	0.630
(1,2)	0.628
(1,3)	0.626
(3,9)	0.625
(7,10)	0.616
(8,10)	0.613
(5,6)	0.611
(1,4)	0.601
(4,10)	0.597
(2,4)	0.597
(5,7)	0.571
(1,6)	0.558
(5,9)	0.552
(1,5)	0.534
(1,7)	0.523
(4,8)	0.516
(2,8)	0.499
(3,8)	0.494
(1,9)	0.491
(6,8)	0.479
(7,8)	0.473
(8,9)	0.460
(1,8)	0.437
(1,10)	0.379
