(9,10)	2.417
(3,4)	2.403
(7,8)	2.121
(7,9)	2.009
(8,9)	1.933
(5,7)	1.905
(6,7)	1.835
(5,6)	1.812
(7,10)	1.776
(8,10)	1.730
(4,5)	1.712
(5,8)	1.673
(5,9)	1.528
(6,8)	1.454
(3,5)	1.453
(4,6)	1.430
(2,3)	1.416
(5,10)	1.323
(6,9)	1.254
(4,7)	1.204
(6,10)	1.179
(2,4)	1.167
(3,6)	1.159
(1,2)	1.067
(4,8)	1.054
(2,5)	1.012
(3,7)	0.982
(3,8)	0.912
(4,9)	0.886
(3,9)	0.802
(2,6)	0.792
(4,10)	0.727
(1,3)	0.658
(2,7)	0.654
(2,8)	0.642
(3,10)	0.633
(1,4)	0.540
(2,9)	0.535
(2,10)	0.472
(1,5)	0.369
(1,6)	0.310
(1,8)	0.282
(1,7)	0.266
(1,9)	0.257
(1,10)	0.223
