(6,9)	0.642
(3,6)	0.642
(3,9)	0.587
(2,6)	0.579
(2,9)	0.521
(9,10)	0.507
(4,9)	0.485
(2,7)	0.465
(2,10)	0.453
(3,5)	0.453
(1,2)	0.438
(5,6)	0.435
(4,10)	0.428
(2,3)	0.425
(6,10)	0.418
(2,5)	0.416
(6,7)	0.405
(3,7)	0.403
(3,4)	0.392
(2,4)	0.389
(3,10)	0.388
(4,6)	0.387
(7,9)	0.377
(1,6)	0.370
(5,10)	0.368
(1,5)	0.348
(1,3)	0.342
(4,5)	0.330
(8,10)	0.330
(1,7)	0.328
(7,8)	0.323
(6,8)	0.312
(5,9)	0.307
(3,8)	0.303
(5,8)	0.297
(8,9)	0.293
(5,7)	0.291
(4,8)	0.284
(2,8)	0.270
(1,9)	0.246
(1,8)	0.235
(1,10)	0.210
(1,4)	0.184
(7,10)	0.171
(4,7)	0.153
